registros;natureza;municipio;cod_municipio;mes;ano;risp;rmbh
0;Estupro Consumado;ABADIA DOS DOURADOS;310010;1;2025;10;NÃO
0;Estupro Consumado;ABAETE;310020;1;2025;7;NÃO
0;Estupro Consumado;ABRE-CAMPO;310030;1;2025;12;NÃO
0;Estupro Consumado;ACAIACA;310040;1;2025;12;NÃO
0;Estupro Consumado;ACUCENA;310050;1;2025;12;NÃO
0;Estupro Consumado;AGUA BOA;310060;1;2025;14;NÃO
0;Estupro Consumado;AGUA COMPRIDA;310070;1;2025;5;NÃO
0;Estupro Consumado;AGUANIL;310080;1;2025;6;NÃO
0;Estupro Consumado;AGUAS FORMOSAS;310090;1;2025;15;NÃO
0;Estupro Consumado;AGUAS VERMELHAS;310100;1;2025;15;NÃO
1;Estupro Consumado;AIMORES;310110;1;2025;8;NÃO
0;Estupro Consumado;AIURUOCA;310120;1;2025;17;NÃO
0;Estupro Consumado;ALAGOA;310130;1;2025;17;NÃO
0;Estupro Consumado;ALBERTINA;310140;1;2025;17;NÃO
0;Estupro Consumado;ALEM PARAIBA;310150;1;2025;4;NÃO
1;Estupro Consumado;ALFENAS;310160;1;2025;18;NÃO
0;Estupro Consumado;ALFREDO VASCONCELOS;310163;1;2025;13;NÃO
0;Estupro Consumado;ALMENARA;310170;1;2025;15;NÃO
0;Estupro Consumado;ALPERCATA;310180;1;2025;8;NÃO
0;Estupro Consumado;ALPINOPOLIS;310190;1;2025;18;NÃO
0;Estupro Consumado;ALTEROSA;310200;1;2025;18;NÃO
0;Estupro Consumado;ALTO CAPARAO;310205;1;2025;12;NÃO
0;Estupro Consumado;ALTO JEQUITIBA;315350;1;2025;12;NÃO
0;Estupro Consumado;ALTO RIO DOCE;310210;1;2025;13;NÃO
0;Estupro Consumado;ALVARENGA;310220;1;2025;8;NÃO
0;Estupro Consumado;ALVINOPOLIS;310230;1;2025;12;NÃO
0;Estupro Consumado;ALVORADA DE MINAS;310240;1;2025;14;NÃO
0;Estupro Consumado;AMPARO DO SERRA;310250;1;2025;12;NÃO
0;Estupro Consumado;ANDRADAS;310260;1;2025;18;NÃO
0;Estupro Consumado;ANDRELANDIA;310280;1;2025;13;NÃO
0;Estupro Consumado;ANGELANDIA;310285;1;2025;14;NÃO
0;Estupro Consumado;ANTONIO CARLOS;310290;1;2025;13;NÃO
0;Estupro Consumado;ANTONIO DIAS;310300;1;2025;12;NÃO
0;Estupro Consumado;ANTONIO PRADO DE MINAS;310310;1;2025;4;NÃO
0;Estupro Consumado;ARACAI;310320;1;2025;19;NÃO
0;Estupro Consumado;ARACITABA;310330;1;2025;13;NÃO
0;Estupro Consumado;ARACUAI;310340;1;2025;15;NÃO
0;Estupro Consumado;ARAGUARI;310350;1;2025;9;NÃO
0;Estupro Consumado;ARANTINA;310360;1;2025;13;NÃO
0;Estupro Consumado;ARAPONGA;310370;1;2025;4;NÃO
0;Estupro Consumado;ARAPORA;310375;1;2025;9;NÃO
0;Estupro Consumado;ARAPUA;310380;1;2025;10;NÃO
0;Estupro Consumado;ARAUJOS;310390;1;2025;7;NÃO
1;Estupro Consumado;ARAXA;310400;1;2025;5;NÃO
0;Estupro Consumado;ARCEBURGO;310410;1;2025;18;NÃO
2;Estupro Consumado;ARCOS;310420;1;2025;7;NÃO
0;Estupro Consumado;AREADO;310430;1;2025;18;NÃO
0;Estupro Consumado;ARGIRITA;310440;1;2025;4;NÃO
0;Estupro Consumado;ARICANDUVA;310445;1;2025;14;NÃO
0;Estupro Consumado;ARINOS;310450;1;2025;16;NÃO
0;Estupro Consumado;ASTOLFO DUTRA;310460;1;2025;4;NÃO
0;Estupro Consumado;ATALEIA;310470;1;2025;15;NÃO
0;Estupro Consumado;AUGUSTO DE LIMA;310480;1;2025;14;NÃO
0;Estupro Consumado;BAEPENDI;310490;1;2025;17;NÃO
0;Estupro Consumado;BALDIM;310500;1;2025;19;SIM
0;Estupro Consumado;BAMBUI;310510;1;2025;7;NÃO
0;Estupro Consumado;BANDEIRA;310520;1;2025;15;NÃO
0;Estupro Consumado;BANDEIRA DO SUL;310530;1;2025;18;NÃO
0;Estupro Consumado;BARAO DE COCAIS;310540;1;2025;12;NÃO
0;Estupro Consumado;BARAO DE MONTE ALTO;310550;1;2025;4;NÃO
0;Estupro Consumado;BARBACENA;310560;1;2025;13;NÃO
0;Estupro Consumado;BARRA LONGA;310570;1;2025;12;NÃO
0;Estupro Consumado;BARROSO;310590;1;2025;13;NÃO
0;Estupro Consumado;BELA VISTA DE MINAS;310600;1;2025;12;NÃO
0;Estupro Consumado;BELMIRO BRAGA;310610;1;2025;4;NÃO
14;Estupro Consumado;BELO HORIZONTE;310620;1;2025;1;NÃO
0;Estupro Consumado;BELO ORIENTE;310630;1;2025;12;NÃO
0;Estupro Consumado;BELO VALE;310640;1;2025;13;NÃO
0;Estupro Consumado;BERILO;310650;1;2025;14;NÃO
0;Estupro Consumado;BERIZAL;310665;1;2025;11;NÃO
0;Estupro Consumado;BERTOPOLIS;310660;1;2025;15;NÃO
4;Estupro Consumado;BETIM;310670;1;2025;2;SIM
0;Estupro Consumado;BIAS FORTES;310680;1;2025;13;NÃO
0;Estupro Consumado;BICAS;310690;1;2025;4;NÃO
0;Estupro Consumado;BIQUINHAS;310700;1;2025;7;NÃO
0;Estupro Consumado;BOA ESPERANCA;310710;1;2025;6;NÃO
0;Estupro Consumado;BOCAINA DE MINAS;310720;1;2025;17;NÃO
0;Estupro Consumado;BOCAIUVA;310730;1;2025;11;NÃO
0;Estupro Consumado;BOM DESPACHO;310740;1;2025;7;NÃO
0;Estupro Consumado;BOM JARDIM DE MINAS;310750;1;2025;13;NÃO
0;Estupro Consumado;BOM JESUS DA PENHA;310760;1;2025;18;NÃO
0;Estupro Consumado;BOM JESUS DO AMPARO;310770;1;2025;12;NÃO
0;Estupro Consumado;BOM JESUS DO GALHO;310780;1;2025;12;NÃO
0;Estupro Consumado;BOM REPOUSO;310790;1;2025;17;NÃO
0;Estupro Consumado;BOM SUCESSO;310800;1;2025;6;NÃO
0;Estupro Consumado;BONFIM;310810;1;2025;2;NÃO
0;Estupro Consumado;BONFINOPOLIS DE MINAS;310820;1;2025;16;NÃO
0;Estupro Consumado;BONITO DE MINAS;310825;1;2025;11;NÃO
0;Estupro Consumado;BORDA DA MATA;310830;1;2025;17;NÃO
0;Estupro Consumado;BOTELHOS;310840;1;2025;18;NÃO
0;Estupro Consumado;BOTUMIRIM;310850;1;2025;11;NÃO
0;Estupro Consumado;BRAS PIRES;310870;1;2025;4;NÃO
0;Estupro Consumado;BRASILANDIA DE MINAS;310855;1;2025;16;NÃO
1;Estupro Consumado;BRASILIA DE MINAS;310860;1;2025;11;NÃO
0;Estupro Consumado;BRASOPOLIS;310890;1;2025;17;NÃO
0;Estupro Consumado;BRAUNAS;310880;1;2025;12;NÃO
0;Estupro Consumado;BRUMADINHO;310900;1;2025;2;SIM
0;Estupro Consumado;BUENO BRANDAO;310910;1;2025;17;NÃO
0;Estupro Consumado;BUENOPOLIS;310920;1;2025;14;NÃO
